"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/61c06659-ae05-4586-9337-6ef2612e7d2a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","201","5uppp","734597655","96330","55681","7625","975042","713104","18150787","true","false","English","5uppp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3f48b21e-a9be-4881-930a-452a420b07e0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","202","Moonryde","732461100","145815","62165","5023","517739","400707","14469174","true","false","Italian","Moonryde"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ce96b81a-1cc7-4c30-aa3c-9a779400d709-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","203","Otzdarva","732348195","102660","37016","7133","652367","338479","10039211","true","false","English","Otzdarva"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ccdbd374-71d9-494e-8c91-0720a2bd82f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","204","StableRonaldo","717993015","68175","61303","10531","2303231","1295225","29607455","true","false","English","StableRonaldo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/36d4c24a-e555-4941-ab91-8c9e13f7752b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","205","39daph","716057940","104355","36045","6861","979061","318926","14207569","true","false","English","39daph"
"https://static-cdn.jtvnw.net/jtv_user_pictures/kimdoe-profile_image-354ecea9a42c41e9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","206","김도 (kimdoe)","713888010","151530","11020","4711","310204","18022","15773614","true","true","Korean","김도 (kimdoe)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/89e29e2e-f165-40e6-bc0c-d42205935216-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","207","침착맨 (zilioner)","712356795","84585","35193","8421","591993","99913","20525207","true","false","Korean","침착맨 (zilioner)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/321ccdc6-54d1-4f0f-9ac3-c1fca45c91ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","208","Punz","709788405","76395","65648","9291","1290111","1061864","13632063","true","false","English","Punz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be617983-20cf-4bf2-97a6-5363d0205ae6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","209","TenZ","706996620","45555","48888","15519","2005276","1497752","28963706","true","false","English","TenZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/442e44c8-8b57-4524-94ab-08271a7cff85-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","210","WePlayCSGO_ru","705631305","31200","376003","22616","486560","428943","21916156","true","false","Russian","WePlayCSGO_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d6bd2665e718bcb3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","211","Jankos","702028020","59895","42426","11720","1062890","426484","24106830","true","false","English","Jankos"
"https://static-cdn.jtvnw.net/jtv_user_pictures/653255d9-7c5a-4449-8cb3-8c8db999fb31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","212","PGL","699234285","8325","331277","83992","1200725","411630","15818805","true","false","English","PGL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/96b30bc4546e2f71-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","213","boxbox","699172470","157095","74768","4450","1938769","185223","13580575","true","false","English","boxbox"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c805ffa-1f34-4aa9-8409-015dd151d4b1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","214","pqueen","695352210","78390","339893","8870","1738145","1021260","26747961","true","false","Turkish","pqueen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/517e697a-6768-4834-a703-c326cc1a74b5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","215","fuslie","693794940","84045","41908","8255","1042022","558431","24588278","true","false","English","fuslie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6c5ba4a1-5c61-4ff6-a7f4-ac791c19aef2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","216","TFBlade","692291820","118215","18549","5856","1137222","78326","18528392","true","false","English","TFBlade"
"https://static-cdn.jtvnw.net/jtv_user_pictures/865826b7-35e7-47be-9bb8-aff3be1fa08f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","217","BastiGHG","692120325","152520","17878","4537","936541","378775","16882959","true","false","German","BastiGHG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1143fce4-89f8-4d64-95d2-e401084abe06-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","218","R6esportsBR","690775965","56640","87521","12195","503309","158215","17409864","true","false","Portuguese","R6esportsBR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/024a97a5-ba44-4665-b77c-69dc7678af44-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","219","Alexby11","688979910","80655","70418","8542","2775038","1011625","24450390","true","false","Spanish","Alexby11"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f40e0bfe-f376-49b1-ad08-7b63f866dabb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","220","roflgator","686962320","145260","22168","4729","238163","108303","6826666","true","true","English","roflgator"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ray__c-profile_image-6c44b069aaa13cb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","221","Ray__C","685741635","182265","88938","3762","388771","341510","13471770","true","false","English","Ray__C"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d7e1b137-a96f-4497-8a4a-8d5da091c709-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","222","VooDooSh","685420035","125895","29840","5444","159270","61589","20713015","true","false","Russian","VooDooSh"
