"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/0c4ee176-07e4-4345-921f-9e47de50cab4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","301","嬌兔 (zrush)","553026675","138855","12887","3982","220532","31248","16752425","true","true","Chinese","嬌兔 (zrush)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82d228e6-215e-4c6b-bac9-1b4a0df65b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","302","JLBichouu","552652950","109995","35302","5024","508913","279871","9660998","true","true","French","JLBichouu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ccdeb274-9d91-4033-8196-d2c3eaa631e4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","303","ChilledChaos","552058815","98310","12441","5615","374885","97891","5438475","true","false","English","ChilledChaos"
"https://static-cdn.jtvnw.net/jtv_user_pictures/jesusavgn-profile_image-ef60f6d58af4ccef-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","304","JesusAVGN","550895280","84060","29284","6553","996567","251683","21039101","true","false","Russian","JesusAVGN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a68d7efe-3b2a-4de3-9bc7-c8a309613b29-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","305","RevedTV","548986410","84990","75163","6459","785556","479984","17770287","true","false","German","RevedTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5e60a23d-74e7-4482-8307-cb84f72aa60c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","306","WARDELL","548181345","131070","17957","4182","909909","442891","22403458","true","true","English","WARDELL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9b670be0-6299-473e-9c54-307685fc1e70-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","307","Timmac","547114530","224250","27668","2439","519384","114776","7760870","true","true","English","Timmac"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3ffb7125-e69a-4c04-bf6d-a1eda07a9ebb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","308","Whippy","546714825","130710","34930","4182","401515","314092","11533555","true","true","English","Whippy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6babac94-9b7e-4921-80b0-f04f5cea633b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","309","masondota2","545498760","107760","11948","5062","190877","72236","8279435","true","true","English","masondota2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7fbadc44-6f9e-4c64-9943-2cbe453f1f0e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","310","FPSThailand","545224005","140955","43126","3868","486169","87576","21244727","true","true","Thai","FPSThailand"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9948c83e-5735-48f7-91c6-afb71827b498-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","311","itsRyanHiga","540866655","112695","48953","4799","688691","395042","11562587","false","false","English","itsRyanHiga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/mathil1-profile_image-39376f797063a87b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","312","Mathil1","538657575","141840","24655","3797","339818","36478","10503830","true","false","English","Mathil1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/35ebe69d-9591-4a4e-a28a-d2da32bdb1a4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","313","LuluLuvely","535891200","86580","26702","6189","1126566","579647","14705811","true","false","English","LuluLuvely"
"https://static-cdn.jtvnw.net/jtv_user_pictures/scump-profile_image-bbaf98441dd6e786-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","314","scump","535865550","55155","36571","9715","1196262","202309","8458910","true","false","English","scump"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0aea3253-d849-4237-99b1-62ee830f6146-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","315","GingiTV","535742115","87855","63160","6098","262311","92784","12246686","true","true","English","GingiTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/52ef5525-b19f-44f1-b342-2a7e33c45cc3-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","316","ESL_DOTA2","535711140","153510","112034","3489","464931","86167","12116035","true","false","English","ESL_DOTA2"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ricegum-profile_image-f71f2c4fb046645a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","317","RiceGum","535601940","34185","55775","15667","1202318","279512","8902449","true","false","English","RiceGum"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec31b73e-1fd1-4472-bb0e-941fb750cdb7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","318","MenosTrece","531759870","120285","45464","4420","935521","402655","15468354","true","false","Spanish","MenosTrece"
"https://static-cdn.jtvnw.net/jtv_user_pictures/pago3-profile_image-5e9043daaa93d715-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","319","PAGO3","530147115","126075","15154","4205","631012","189778","30210481","true","false","Polish","PAGO3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1cfee567-0b9c-4428-8281-c94f397a5cea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","320","DiazBiffle","528377805","81735","26052","6464","406490","328577","7597357","true","false","English","DiazBiffle"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df67fe6c-5723-470b-96dc-42bba43bbac8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","321","epicenter_en1","527313990","66015","71162","7987","463149","61227","9609053","true","false","English","epicenter_en1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c92f5710-c7ef-4bd9-9d5a-e3e91538877b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","322","SteveSuptic","526757880","89655","35285","5875","259098","226762","10191461","true","true","English","SteveSuptic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec0d7339-ceae-404f-86ee-21e088b75dac-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","323","CasinoDaddy","524053410","330060","4533","1587","161266","5381","5449760","false","true","English","CasinoDaddy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/00fa097b-1d94-4b13-a274-5290a73485a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","324","Ash_on_LoL","520681410","86340","62182","6030","681164","585342","13012389","true","false","English","Ash_on_LoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/rtainjapan-profile_image-056f5f8ac3ad9fae-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","325","RTAinJapan","520375155","23940","176991","21736","180602","103865","6712075","true","false","Japanese","RTAinJapan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/da28bd64-f6a1-4b49-9b6b-0a6faf94c700-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","326","Fresh","519936810","61995","25758","8386","4469784","987829","16303504","false","false","English","Fresh"
"https://static-cdn.jtvnw.net/jtv_user_pictures/towelliee-profile_image-f9752afc441702cc-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","327","Towelliee","519337260","190290","36326","2729","757429","41202","16632542","true","false","English","Towelliee"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cba7391d-b7a2-4ab9-a597-b438d3949ed3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","328","Hype","517740480","57705","53021","8972","431874","253295","14567447","true","true","Turkish","Hype"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2a5df0da-86ea-4d5b-986f-e722c553405f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","329","Steelmage","517566750","169920","15866","3045","111677","36748","8090466","true","false","English","Steelmage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/supertf-profile_image-4a7fae211a68ae1f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","330","supertf","516144915","124515","12125","4145","382631","147918","7319726","true","false","English","supertf"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dfb0cef3-87ca-4f09-9f52-7d7de319afbb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","331","mch_AGG","513918900","482715","55547","1064","409778","164946","12522408","true","false","Portuguese","mch_AGG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1386b312-d06d-4a21-b314-45bde3713090-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","332","HoneyMad","511091025","61650","35127","8290","629005","68118","16232070","true","true","Russian","HoneyMad"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eb93145f-84ba-455c-a67b-9c58738ec774-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","333","GrenBaud","510726930","48045","44756","10630","599294","592845","6328579","true","true","Italian","GrenBaud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1eb304dc-27da-411a-9fc2-d68addbbab14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","334","Greekgodx","509516115","68925","118713","7392","1513995","177618","14166002","true","true","English","Greekgodx"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0020626c-586e-4863-9124-8561fa7ffc33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","335","aXoZer","508244145","110190","59850","4612","1276205","965585","15793972","true","false","Spanish","aXoZer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f654f03a-73e0-40c4-be05-af033b64abff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","336","VALORANT_BR","507871560","36870","86325","13774","274860","269193","11011730","true","false","Portuguese","VALORANT_BR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ae746c00-a1cb-4539-8cf7-bdf19663a7b9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","337","loud_thurzin","504474870","58425","47796","8634","1437502","958676","6754980","true","false","Portuguese","loud_thurzin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/73e04321-1116-4b09-8a89-2ce801bf3e16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","338","Werlyb","503556660","78195","76653","6439","595130","321274","17179438","true","false","Spanish","Werlyb"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b26d910a-69f3-44fa-827e-56a6ad9f5a9b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","339","Pieface23","501807585","93135","21393","5387","617848","353860","5200202","true","false","English","Pieface23"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6e593335-c2f3-4227-bc0d-34634472cf0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","340","Northernlion","500057760","77835","50421","6424","472237","103650","6185066","true","false","English","Northernlion"
"https://static-cdn.jtvnw.net/jtv_user_pictures/49d93bca-ab1b-401a-8775-2f06af4b71d4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","341","LITkillah","499407525","20715","103784","24108","2071286","1221336","13911363","true","false","Spanish","LITkillah"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e41c60a3-2560-4097-9ca2-d3b65fac4608-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","342","CaptainPuffy","499078155","55500","107050","8992","1519984","1485843","12603047","true","false","English","CaptainPuffy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c8ae696-61a9-406c-b1a4-86f5541bbfa8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","343","Nick28T","496931925","173775","19289","2859","1043932","38242","5669364","true","true","English","Nick28T"
"https://static-cdn.jtvnw.net/jtv_user_pictures/elotrix-profile_image-68e89e930904b2e6-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","344","ELoTRiX","496533645","68460","50701","7252","1324554","359977","9410715","true","true","German","ELoTRiX"
"https://static-cdn.jtvnw.net/jtv_user_pictures/17be194f-2fba-4c43-95b3-bf9402a94e31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","345","木棉花官方頻道 (muse_tw)","496125960","510960","9903","970","190640","69153","11749752","true","false","Chinese","木棉花官方頻道 (muse_tw)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/86214da3-1461-44d1-a2e9-43501af29538-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","346","Xari","495932865","84285","25125","5883","357415","62845","7753271","true","false","French","Xari"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e5da145b-14f7-4555-a550-5d5c9a1d96cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","347","러너교 (runner0608)","494868210","137415","19267","3601","231656","56360","12863802","true","false","Korean","러너교 (runner0608)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0223d123-babb-420a-87f9-44bd2ddd6c24-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","348","resttpowered","494585985","144030","14112","3433","321110","55635","14117074","true","false","Slovak","resttpowered"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e8f13954-611e-42a5-86b7-d23311ff0b81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","349","zxcursed","490768365","156690","20914","3132","406341","405124","20223949","true","false","Russian","zxcursed"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dbd6b07a-ac47-4b61-85dc-3f6710f6e0c6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","350","탬탬버린 (2chamcham2)","488739015","94665","18953","5162","561576","52243","14960927","true","false","Korean","탬탬버린 (2chamcham2)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4170045c-f7f3-4dde-ad0b-346a39cbbe92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","351","JoeWo","487687005","144375","33722","3377","476272","405281","10487237","true","false","English","JoeWo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/973a644c-2e3a-4cbb-b854-a1f9882f3cef-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","352","VonDice","485574300","102810","21414","4723","172428","139445","6930816","false","true","English","VonDice"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e19ac520d13f081f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","353","다주 (dda_ju)","485352510","137850","20685","3520","285037","68213","14249136","true","false","Korean","다주 (dda_ju)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61763701-db95-45b3-8622-25c1ca38e1c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","354","C_a_k_e","484631430","101670","18443","4766","325416","5406","16849886","true","false","Russian","C_a_k_e"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8bd07ef046330084-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","355","Scarra","484204305","136200","42650","3555","1495886","151429","11664279","true","false","English","Scarra"
"https://static-cdn.jtvnw.net/jtv_user_pictures/942bca8c-21f3-4e13-a4ef-148dca11ce7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","356","BruceDropEmOff","483782190","85440","19292","5662","364574","252235","3893718","true","true","English","BruceDropEmOff"
