"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/e28ba8dc-2252-4b40-a75e-af9d5e31c0bf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","801","adeptthebest","237031785","140040","11900","1692","467351","194229","9009502","true","false","English","adeptthebest"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fd17325a-7dc2-46c6-8617-e90ec259501c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","802","Loserfruit","236810835","107685","13955","2199","2677257","619519","13222441","true","false","English","Loserfruit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/37a8184f-15b4-4e16-a61d-2557c90edde2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","803","世界の屁こき隊 (hekokitaiworld)","236506725","212565","2141","1112","11589","4584","2130261","true","false","Japanese","世界の屁こき隊 (hekokitaiworld)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/892efb7364af9a74-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","804","Heideltraut","236489880","125895","6406","1878","174428","16319","3926173","true","true","German","Heideltraut"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e0e33c68-f53d-4308-a780-62b1bfd09d17-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","805","RatoBorrachudo","236377965","105180","56047","2247","558974","232896","7109444","true","false","Portuguese","RatoBorrachudo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94c80705-7217-42ba-8b23-a3f5dfc35171-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","806","Blaustoise","236116620","153585","36147","1537","268561","234027","7544901","true","false","English","Blaustoise"
"https://static-cdn.jtvnw.net/jtv_user_pictures/snoodyboo-profile_image-86ca4a81f47b7790-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","807","snoodyboo","235915305","137100","9383","1720","99141","26431","4954036","true","false","Spanish","snoodyboo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1be7f247-c32a-41df-b8ba-3486fe995b79-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","808","DashDucks","235505805","522180","101614","451","272348","202190","4605610","true","false","English","DashDucks"
"https://static-cdn.jtvnw.net/jtv_user_pictures/shisheyu_mayamoto-profile_image-554e7261e0f5adcf-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","809","Shisheyu_Mayamoto","235489035","104070","13364","2262","74063","30111","3110024","true","false","French","Shisheyu_Mayamoto"
"https://static-cdn.jtvnw.net/jtv_user_pictures/538b904b-f7c0-4738-b288-bc9d18065245-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","810","RTGame","235458525","50385","15655","4673","1047878","132378","7321902","true","false","English","RTGame"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b6bbd0d5-a0ff-4c25-9966-3e48002c43bb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","811","蛇足 (dasoku_aniki)","235242090","128025","19246","1837","113228","79029","8302846","true","false","Japanese","蛇足 (dasoku_aniki)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/70a09315-6d24-4763-9f31-e010d2fb128a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","812","KarasMai","235118550","123675","5457","1901","411964","106239","5312566","true","true","English","KarasMai"
"https://static-cdn.jtvnw.net/jtv_user_pictures/751ab095-b966-49a3-892c-3bd3f9f2f1aa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","813","ryux","234937740","170820","19455","1375","703294","308475","12698007","true","false","Spanish","ryux"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f64a8708-e51f-44fd-9a10-f5863fb50239-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","814","gafallen","234844245","28785","45023","8158","1286396","248524","11090054","true","false","Portuguese","gafallen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e74c8edc-127c-446b-92e4-1d18d96675c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","815","CrReaM","234634665","141030","17968","1663","175948","5808","2501092","true","true","English","CrReaM"
"https://static-cdn.jtvnw.net/jtv_user_pictures/iateyourpie-profile_image-c6e9804dd1b1dd35-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","816","iateyourpie","234608625","176475","21783","1329","128156","4330","2366975","true","false","English","iateyourpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9cb58844-34c4-4891-a133-e2168fb62337-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","817","Limmy","234521565","94140","5417","2491","374766","117852","3197793","true","true","English","Limmy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bananaslamjamma-profile_image-8a07eac563581ffe-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","818","BananaSlamJamma","234404340","120015","6547","1953","231358","51642","4050800","true","false","English","BananaSlamJamma"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94a9b23f-3be0-436b-aa3d-98bc72f56a18-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","819","SoyPan","234252270","159495","8431","1468","640476","248676","5633918","true","false","Spanish","SoyPan"
