"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/a3c25685-7a96-46e8-9a93-20f64592354d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","901","itsRaikz","214480500","94815","5540","2262","111340","29464","3963337","true","true","Spanish","itsRaikz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c1ded298-306a-4c9a-8657-eb3a2e94f71e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","902","fobm4ster","214362750","131490","6022","1630","88489","81615","3357923","true","false","English","fobm4ster"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0086f56a-7976-4fa9-b48b-a4df03c88040-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","903","Hirona","214189905","116580","13417","1837","222742","94573","5026242","true","true","English","Hirona"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c4cd414-101a-422c-ad1b-11d2d9b31246-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","904","SicK_cs","214174980","43335","17058","4942","397740","393500","7844330","true","false","English","SicK_cs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4fb151e7-be38-44c7-a31a-d00fd265fa0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","905","kutcherlol","214017495","156960","8851","1363","255521","36637","6063885","true","false","German","kutcherlol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32b35514-3cac-4acd-a68a-1c14ef7cdb3c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","906","Crocodyle_lol","213935400","74370","6833","2876","191086","64423","5825155","true","false","French","Crocodyle_lol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94286e18-367b-4795-98a5-d8dd530d4d0a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","907","mL7support","213374325","109425","8125","1949","439980","67627","4493347","true","false","English","mL7support"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8d09018b2a7ff6ba-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","908","Overpow","212748555","133050","4154","1599","268131","9658","6438390","true","false","Polish","Overpow"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a0c5169a-c29b-48cc-8a92-9b16d0451cb2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","909","Froggen","212313180","99150","6847","2141","788923","26938","5098412","true","false","English","Froggen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ac778c57-b044-4009-9249-4096cbf85cf0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","910","blanchitooo","212166780","96765","25098","2192","550851","322621","8564106","true","false","Spanish","blanchitooo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/713ddce2-9082-485f-b472-5d4757898305-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","911","BULLSEYE","211944060","141195","16063","1501","142331","55968","9508809","true","false","Russian","BULLSEYE"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7a479488-4273-46ea-be21-9ed020b9bc02-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","912","KhanDBL","211798155","89715","18656","2360","260770","259223","6512741","true","false","Spanish","KhanDBL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2cee803c-f61e-4f63-ad05-768de2bf4ce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","913","Cerbero_Podcast","211763415","40230","29314","5263","279390","144058","5310625","true","false","Italian","Cerbero_Podcast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1c04945-21aa-4e5b-8b94-86f2be895e0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","914","룩삼 (looksam)","211632540","100065","14393","2114","292102","8201","7992321","true","false","Korean","룩삼 (looksam)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8921f9b6-7734-4530-a226-3b45c5853d6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","915","HutchMF","211043970","146880","18507","1436","206778","178271","5981090","true","true","English","HutchMF"
