"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/c71b60fc-4215-4c41-aaaa-17908502babf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","401","StreamerHouse","432463170","524310","23114","824","741750","107817","4931620","true","false","English","StreamerHouse"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f5c3ae33-6f4a-4db1-8ecd-da33bce32ebe-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","402","Tonton","431577765","135000","14484","3196","307979","129067","17828025","true","false","French","Tonton"
"https://static-cdn.jtvnw.net/jtv_user_pictures/086c0e24-9abf-4bae-8e86-6cb1707a537e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","403","포셔 (portialyn)","428495445","151005","7803","2837","75553","24707","6064594","true","false","Korean","포셔 (portialyn)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5f30f674-272c-41d4-b103-f121be3e0663-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","404","s1mple","427532460","18390","73680","23248","2758139","885180","34817770","true","false","Other","s1mple"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b8dfcbb1-70df-4bc4-b045-001ef06e79f5-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","405","EmadGG","424741950","135825","25802","3127","1453304","579540","13721990","true","false","English","EmadGG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d48767c9-fef7-48cf-9e10-e3baffefbb19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","406","김진우 (jinu6734)","424577595","92385","14881","4595","317985","28583","9245608","false","false","Korean","김진우 (jinu6734)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","407","ElSpreen","424575165","54915","125865","7731","1857330","1614436","13594363","true","false","Spanish","ElSpreen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/88417cc0-77a0-4d85-a2c7-6e695055f448-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","408","Subroza","424553955","85455","19732","4968","552873","426532","14888169","true","false","English","Subroza"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4376924f-8207-49a6-85a4-60f2fe20ce91-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","409","ANGRYPUG","424179540","165825","30005","2557","445623","46923","6050553","true","true","English","ANGRYPUG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0bd71b32-6417-471c-8196-d58df1a0105d-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","410","오킹 (obm1025)","424166805","119115","19220","3560","617793","135549","9881124","true","true","Korean","오킹 (obm1025)"
