"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/1668076c-ee8f-4499-ab4b-5482c9181811-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","501","QuarterJade","368123280","59790","36627","6156","783319","373540","13115318","true","false","English","QuarterJade"
"https://static-cdn.jtvnw.net/jtv_user_pictures/963d9792-e9de-4b0e-a418-5ffd871dc4ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","502","懶貓 (failverde)","367894590","162690","7907","2261","213789","32407","12753994","true","false","Chinese","懶貓 (failverde)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b0b6cbcc-bedf-4086-be46-45dba84d71ef-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","503","DatModz","367726380","217560","19171","1690","305651","29746","6035985","true","false","English","DatModz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27b90dee-a5c1-4f04-aaba-52ca8f68f224-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","504","robcdee","364574085","162735","9159","2240","202459","137982","7187743","true","false","English","robcdee"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a7e2160e-35d7-4e06-85c7-9b988b7d7ce9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","505","karchez","362433420","87165","27199","4158","601122","445779","10175707","true","false","Spanish","karchez"
"https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","506","Caedrel","361403670","85575","38546","4223","241018","210710","7729612","true","false","English","Caedrel"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4962c719-da66-491a-88eb-07ed7190b86b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","507","Masayoshi","361101600","68265","39134","5289","464408","261765","7863676","true","false","English","Masayoshi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/109ace-profile_image-579a869e5635763f-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","508","철면수심 (109ace)","360912720","151575","10684","2381","198069","19456","10153440","true","false","Korean","철면수심 (109ace)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f338a550-1963-4449-ab31-e99d30cd4876-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","509","BlitzStream","360839610","117600","17226","3068","138213","105719","15922006","true","false","French","BlitzStream"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5e73acbe-2956-41eb-871a-5279d3a4f20d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","510","orangemorange","359099085","104790","14335","3426","469484","190027","7136223","true","true","German","orangemorange"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a0c052ec-2cfa-4d0d-9e48-bc85b904e784-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","511","MateoZ","358509300","130680","24215","2743","752265","325719","10171010","true","false","Spanish","MateoZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/be840a99-46fa-4672-ac6c-537ab7c6b707-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","512","polsatgames","357487680","84930","28584","4209","233769","64153","27424069","true","false","Polish","polsatgames"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4ac74c79-1391-4ed8-9ef1-8a15910e712e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","513","pgod","357421740","87345","18398","4092","751975","619416","16021063","true","true","Spanish","pgod"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6e5892f2-0336-4ec1-82df-4e89470fda3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","514","AriaSaki","354306105","93615","34299","3784","506210","294693","9927555","true","false","English","AriaSaki"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a0264217-f548-49ff-a4ab-1ba9a78ab8fc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","515","GothamChess","353406840","46485","28659","7602","502621","397896","26864760","true","false","English","GothamChess"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b7304e11-2c97-4e04-b1a2-f820fe7d0549-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","516","狂暴小建 (a541021)","352783065","162795","9312","2167","218001","5865","14333118","true","true","Chinese","狂暴小建 (a541021)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bae7efee-5661-4b94-8eb9-406239692299-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","517","인간젤리 (ses836)","352743405","160875","14053","2192","148372","27345","11216225","true","false","Korean","인간젤리 (ses836)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1ac703ee-57aa-4e68-86df-838d52a5193f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","518","Silky","352665240","104145","15689","3386","260015","176303","4445030","true","true","English","Silky"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8d9d49f3-d744-495b-ba28-facc57dc9381-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","519","앰비션_ (lol_ambition)","351625965","89550","11255","3926","446696","59037","10476632","true","false","Korean","앰비션_ (lol_ambition)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6020327d-1cd3-4afb-aefd-62cfbb6f9695-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","520","양띵 (yd0821)","351109695","35475","36460","9897","322954","35923","2984534","true","false","Korean","양띵 (yd0821)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/68296fe2-cee7-42dd-b241-6535084df12a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","521","Joueur_du_Grenier","350877210","35640","179933","9845","705816","261411","10884511","true","false","French","Joueur_du_Grenier"
"https://static-cdn.jtvnw.net/jtv_user_pictures/018c37db-bd5f-4268-8b8d-b0ed31887d4b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","522","Vlesk","350722740","101220","14575","3464","213647","134611","8012396","true","false","German","Vlesk"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c6a67e55-8b80-4eaf-beb3-adf7fcc49fa5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","523","KYR_SP33DY","350670165","112695","9719","3111","770456","47773","3582043","true","false","English","KYR_SP33DY"
"https://static-cdn.jtvnw.net/jtv_user_pictures/538ad5c6-8c22-4713-ab29-bafd24605ffb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","524","dreamwastaken","350374755","2475","311644","141565","5643810","3703422","10484742","false","false","English","dreamwastaken"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b572fe0a-3fab-4a0c-bc7e-c10ff637fdb5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","525","calango","349895475","102075","16239","3427","1271168","349171","10337456","true","false","Portuguese","calango"
"https://static-cdn.jtvnw.net/jtv_user_pictures/80c7f68d-8d5e-45cd-a228-65466e37205f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","526","SkipNhO","347606175","142170","19511","2445","1195860","62858","10242815","true","false","Portuguese","SkipNhO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9422718a-57f7-4b1f-8e8f-54906b407847-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","527","StaysafeTV","347534055","155040","15065","2241","197354","39406","6342330","true","true","English","StaysafeTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6b2fe2bd-4e73-4bef-a958-7fd217ca5423-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","528","BobbyPoffGaming","347270100","226155","14237","1535","236863","87708","2814262","true","true","English","BobbyPoffGaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/74ad4d15-eec2-4cb2-8451-1fad6c5ad062-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","529","TeeGrizzley","346062780","65415","35133","5290","717342","581052","4075760","true","false","English","TeeGrizzley"
"https://static-cdn.jtvnw.net/jtv_user_pictures/817c9848-a161-4b54-9b62-3fc7a8c741ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","530","PurpleBixi","346057125","47790","32669","7241","261302","194034","11173943","true","false","Turkish","PurpleBixi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7a4e37d2-590e-4922-9a66-9c87d96999b5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","531","adolfz","345724260","69645","14650","4964","460467","139173","3466572","true","true","Portuguese","adolfz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c2238b84-bf90-4b8f-8ff2-bdcc2a326012-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","532","Xop0","345283545","268380","7281","1286","148277","46205","37398370","false","false","Russian","Xop0"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e9f343d-5027-4fe2-a0f8-a30b32c8f5e0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","533","Albralelie","345142530","146385","31680","2357","498340","218753","10332669","true","false","English","Albralelie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/743151c6-c9ea-4657-992c-6ffddbdbdc7c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","534","Felps","344882565","112290","11644","3071","1113597","164898","6676637","true","false","Portuguese","Felps"
"https://static-cdn.jtvnw.net/jtv_user_pictures/alphacast-profile_image-56175953cb7d4aa3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","535","AlphaCast","344535225","83835","29517","4109","544146","97922","12356274","true","false","French","AlphaCast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f063037d-543d-40d4-9f60-87140b42155a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","536","UNLOSTV","344119965","45735","109328","7524","2007975","382950","17628821","true","false","Turkish","UNLOSTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/207caf4b-94a5-418e-a9fa-40cc1fb4a8c2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","537","견자희 (wkgml)","343403745","114690","50388","2994","535931","96140","11072571","true","false","Korean","견자희 (wkgml)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e85f1e19-e793-4a07-bbc5-5135981dc4f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","538","랄로 (aba4647)","343398735","21825","43686","15734","438477","326867","8710620","true","false","Korean","랄로 (aba4647)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/21d8988f-87b4-4a6b-a63a-f87d30624031-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","539","Kaydop","342996855","48540","49397","7066","593602","331795","8434165","true","false","French","Kaydop"
"https://static-cdn.jtvnw.net/jtv_user_pictures/00f1dd8d-064b-4dc1-bf62-7f8166cf98bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","540","Cachorro1337c","342633555","170970","6857","2004","124826","113528","5111188","false","false","Portuguese","Cachorro1337c"
"https://static-cdn.jtvnw.net/jtv_user_pictures/88ebc32c-7684-4cbd-a4fe-c26997ad8875-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","541","ESL_CSGOb","342425190","51375","100416","6665","782049","156849","12492001","true","false","English","ESL_CSGOb"
"https://static-cdn.jtvnw.net/jtv_user_pictures/t90official-profile_image-7fc20fb92b417c92-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","542","T90Official","340429515","53985","62655","6306","225023","54464","5889426","true","false","English","T90Official"
