"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","xQcOW","15807077220","214575","167224","73666","9435707","5323517","222501258","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c495b77e-7f47-4bc5-a216-3045d7545796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Gaules","10126056885","518250","335911","19538","3144913","1059974","154919767","true","true","Portuguese","Gaules"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","auronplay","6989874525","63270","317437","110476","10646400","5174576","135625465","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","ibai","6259016820","85365","1512479","73320","8310959","4876314","181974834","true","false","Spanish","ibai"
"https://static-cdn.jtvnw.net/jtv_user_pictures/371a4ddd-c4ef-418c-9f42-cfecda78187d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","loud_coringa","5606015745","93870","308169","59721","2600563","2036435","36637110","true","false","Portuguese","loud_coringa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","summit1g","5594436360","215700","104674","25936","5999220","439175","75206931","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","shroud","5313155865","154950","340617","34289","9776372","1353923","133125104","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","HasanAbi","5076282045","192705","223056","26342","1584481","826913","57173216","true","false","English","HasanAbi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","NICKMERCS","5019902685","110145","371609","45575","6209695","1687987","70821039","true","false","English","NICKMERCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","loltyler1","4811614470","161325","96527","29825","4590387","770967","78172806","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","11","ESL_CSGO","4717966650","506835","267681","9308","5036055","820965","148058920","true","false","English","ESL_CSGO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","LCK_Korea","4633171605","71490","623617","64808","1163591","405008","150693079","true","false","Korean","LCK_Korea"
"https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","juansguarnizo","4161097965","137565","140500","30248","5730086","3774480","90959239","true","false","Spanish","juansguarnizo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","14","fps_shaka","3985785570","240195","69250","16593","679875","328607","59928213","true","false","Japanese","fps_shaka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8de4d844-586d-4be9-8570-04a0678fa99e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","15","RanbooLive","3936214605","57945","346132","67930","3933549","3850099","59494460","true","false","English","RanbooLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sykkuno-profile_image-6ab1e70e07e29e9b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","16","Sykkuno","3855501240","106125","104187","36329","3819596","2569027","69342567","true","false","English","Sykkuno"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","17","Rubius","3772010295","70305","344676","53652","10329440","3473919","110363015","true","false","Spanish","Rubius"
"https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","18","Trymacs","3743244375","120900","293900","30961","2762322","956873","63911395","true","false","German","Trymacs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bde8aaf5-35d4-4503-9797-842401da900f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","19","ludwig","3691966620","132855","150360","27789","3060288","2305886","80227608","true","false","English","ludwig"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fdff3559-e0cc-4c12-b93a-13c0d9a02c64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","20","ROSHTEIN","3656093835","208935","65216","17498","810464","418370","43890153","false","true","English","ROSHTEIN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","21","Fextralife","3568043415","183180","158719","19478","958929","419109","606232810","true","false","English","Fextralife"
"https://static-cdn.jtvnw.net/jtv_user_pictures/07406d8d-c746-40f5-bf77-c50a1de96566-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","22","TheGrefg","3488633790","92160","2298485","37854","8448067","3729055","118970883","true","false","Spanish","TheGrefg"
"https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","Asmongold","3467468865","65280","213209","53116","2376719","647516","57042197","true","false","English","Asmongold"
"https://static-cdn.jtvnw.net/jtv_user_pictures/50fa2943-a6fa-4266-a00b-eddbea568fd9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","Riot Games (riotgames)","3449682720","96900","854781","35600","5870098","592424","62799501","true","false","English","Riot Games (riotgames)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2c3f7cfb-76e9-4557-8432-dfa895aabdba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","MontanaBlack88","3233587860","66450","204811","48661","4218670","1118672","52637074","true","true","German","MontanaBlack88"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","sodapoppin","3056276790","145260","107432","21040","3153741","284650","45297534","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","otplol_","3033123345","373125","290837","8128","434814","400376","74189623","true","false","French","otplol_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bd6ad02e-9bc7-4956-b62f-7277d9981109-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","TimTheTatman","3032496765","85410","152188","35505","7016611","1306281","46595473","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/13186be9-68d9-4df7-a2ed-676b4076802e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","RocketLeague","3022706025","49140","178406","61512","3347875","1386075","110145704","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","AdinRoss","2997113565","66510","254923","45062","5086396","4771234","36858916","true","false","English","AdinRoss"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","Trainwreckstv","2915574780","140775","82731","20710","1604252","620009","40633983","true","true","English","Trainwreckstv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","Mizkif","2874934440","123930","187784","23198","1626731","904378","52174652","true","false","English","Mizkif"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","stylishnoob4","2792600475","147345","114474","18952","698660","303236","49406857","true","false","Japanese","stylishnoob4"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9019845e-4a03-46d6-b488-3e915e0e2f90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","dota2mc_ru","2743309515","122175","139882","22453","659300","189708","86194796","true","false","Russian","dota2mc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7f1cd66d-f145-4a0f-8e0e-5196c9c87410-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","buddha","2704909395","198465","68818","13629","670258","421843","36317908","true","true","English","buddha"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","LVNDMARK","2618337405","220725","142160","11862","678544","372014","34706746","true","false","English","LVNDMARK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","LIRIK","2596037280","121170","84040","21424","2844452","129603","38519888","true","false","English","LIRIK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","38","풍월량 (hanryang1125)","2572321980","180390","44351","14259","561075","50305","37958939","true","false","Korean","풍월량 (hanryang1125)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f24eb74d-cd92-404b-949a-9ac2747df53f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","Rainbow6","2392024935","80895","133159","29569","2124063","555942","43024750","true","true","English","Rainbow6"
"https://static-cdn.jtvnw.net/jtv_user_pictures/905af69a-4fd8-42c7-b842-bf4ee4d51b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Tubbo","2362248495","42300","311551","55845","4590770","3793510","51540056","true","false","English","Tubbo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","alanzoka","2339488230","101100","107994","23140","5276707","1254296","53855090","true","false","Portuguese","alanzoka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55a32fc5-8def-421a-841f-7693786781b0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","LEC","2308908945","49860","376228","46307","1565815","461426","41822493","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","43","Castro_1021","2251812585","90210","163910","24961","3221001","661114","27883659","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/50127da1-6e66-4dcc-8360-0ad4ee899233-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","44","Jelty","2185104090","161460","72174","13533","2434511","1889893","58425120","true","false","Spanish","Jelty"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e83f7-8241-47ce-abbd-438075e95ad4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","Quin69","2182121190","190395","44153","11461","632638","79054","25983419","true","false","English","Quin69"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94f56688-8e25-4129-bd8c-1a67b108c0d7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","46","CBLOL","2126983905","55740","281184","38159","1382944","294313","39737771","true","false","Portuguese","CBLOL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1cce6c41-aaf8-44c2-ad1b-ef76fb0eede3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","47","YoDa","2107142745","135750","132814","15522","2177889","263418","44917077","true","true","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","48","加藤純一です (kato_junichi0817)","2088489630","85965","219949","24294","465929","272445","24026970","false","false","Japanese","加藤純一です (kato_junichi0817)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3ab30b90-63a3-4d24-941c-995806ecc511-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","LCS","2078880630","67335","207410","30873","1634573","380276","41738919","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8aa0b7dc-e4b0-4666-a99f-5d62d9bf168a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","50","Amouranth","2078269035","229545","33925","9053","4642237","2871230","182706359","true","false","English","Amouranth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","51","한동숙 (handongsuk)","2032532295","175845","46499","11558","454092","56271","40551131","true","false","Korean","한동숙 (handongsuk)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/647b139f-4cd1-4a6f-9dc2-40113781bf15-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","52","RatedEpicz","1998809250","174975","59755","11423","488087","340116","30577290","false","true","English","RatedEpicz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","53","MOONMOON","1978562400","115260","42517","17166","1091172","94162","16790609","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e3a58ce0-46ea-4558-8bb0-7a967c1d621c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","54","CohhCarnage","1977780375","176460","66023","11208","1389737","101155","34506233","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/811dc7d4-1079-4ead-8b48-97f3ff4fa361-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","55","VALORANT","1970128650","102795","231591","19165","1761639","1552691","77361167","true","false","English","VALORANT"
